"CoreID","treatment","sat_level","Mass","formula","presence","n"
"FT001","Wetting",100,386.0517575,"C18H13O9N1",1,3
"FT001","Wetting",100,386.0883292,"C19H17O8N1",1,3
"FT001","Wetting",100,386.9994214,"C17H8O11",1,5
"FT001","Wetting",100,387.0204921,"C14H12O13",1,5
"FT001","Wetting",100,387.0357753,"C18H12O10",1,5
"FT001","Wetting",100,387.0569066,"C15H16O12",1,5
"FT001","Wetting",100,387.0721648,"C19H16O9",1,5
"FT001","Wetting",100,387.0932967,"C16H20O11",1,5
"FT001","Wetting",100,387.108561,"C20H20O8",1,5
"FT001","Wetting",100,387.1296756,"C17H24O10",1,5
"FT001","Wetting",100,387.1449299,"C21H24O7",1,5
